1,INT1303,2019,2,2,120,50,0
2,INT1306,2020,1,2,150,20,0
123,INT1306,2018,1,1,70,20,0
223,INT1313,2019,1,3,100,20,1
4,INT1330,2019,1,3,100,20,1
5,INT1336,2018,2,1,99,20,0
11,INT1340,2019,1,1,100,20,1
12,INT1433,2018,2,1,100,20,0
13,INT1156,2018,2,2,100,20,0
146,INT1156,2018,2,3,50,20,0
15,INT1157,2018,2,1,50,20,0
16,INT1157,2018,1,1,100,20,0
17,INT1156,2018,1,1,100,20,0
18,INT1156,2017,2,5,100,20,0
19,INT1303,2018,1,1,100,20,0
25,INT1306,2018,1,1,50,20,0
20,INT1330,2020,1,3,100,20,0
21,INT1339,2019,1,1,150,30,1
52,INT1303,2019,1,1,69,20,1
23,BAS1227,2019,1,1,80,20,1
126,INT1359,2018,2,1,100,20,0
30,BAS1101,2019,1,1,150,40,1
31,INT1313,2019,1,1,120,50,1
32,INT1330,2019,1,1,110,30,1
33,INT1330,2019,1,2,120,40,1
34,INT1319,2019,1,2,100,20,1
35,INT1332,2019,1,1,50,20,1
36,INT1332,2019,1,2,50,20,1
37,INT1332,2019,1,3,50,20,1
38,BAS1227,2019,1,2,20,10,1
39,BAS1227,2019,1,3,20,10,1
40,BAS1227,2019,1,4,20,10,1
41,INT1332,2019,1,4,50,20,1
42,BAS1227,2019,1,5,20,10,1
43,BAS1227,2019,1,6,20,10,1
44,INT1332,2019,1,5,50,20,1
45,INT1339,2019,1,2,150,30,1
47,INT1528,2019,1,1,80,30,1
48,INT1313,2019,1,2,120,50,1
