1,INT1303,2019,2,2,10,2,0
2,INT1306,2020,1,2,150,20,0
123,INT1306,2018,1,1,70,20,0
223,INT1313,2019,1,3,100,20,0
34,INT1319,2019,1,2,100,20,0
44,INT1330,2019,1,3,100,20,0
55,INT1332,2019,1,3,50,20,0
45,INT1336,2018,2,1,99,20,0
11,INT1340,2019,1,1,100,20,0
12,INT1433,2018,2,1,100,20,0
13,INT1156,2018,2,2,100,20,0
146,INT1156,2018,2,3,50,20,0
15,INT1157,2018,2,1,50,20,0
16,INT1157,2018,1,1,100,20,0
17,INT1156,2018,1,1,100,20,0
18,INT1156,2017,2,5,100,20,0
19,INT1303,2018,1,1,100,20,0
25,INT1306,2018,1,1,50,20,0
20,INT1330,2020,1,3,100,20,0
52,INT1303,2019,1,1,69,20,0
23,BAS1227,2019,1,1,80,20,0
126,INT1359,2018,2,1,100,20,0
30,BAS1101,2019,1,1,150,40,0
